,gameId,playId,uid,maxtime,clean,possessionTeam,defensiveTeam,clean_auc,player_diff
0,2021090900,137,0,25,1,DAL,TB,7.243692874908447,1.0
1,2021090900,187,1,22,1,DAL,TB,3.73852276802063,2.0
2,2021090900,282,2,32,1,DAL,TB,4.620148181915283,3.0
3,2021090900,349,3,26,0,DAL,TB,5.631509304046631,2.0
4,2021090900,687,4,22,0,DAL,TB,4.7615838050842285,1.0
5,2021090900,735,5,39,1,DAL,TB,6.912214756011963,3.0
6,2021090900,764,6,25,1,DAL,TB,7.957460880279541,2.0
7,2021090900,1203,7,24,1,TB,DAL,8.591858863830566,3.0
8,2021090900,1227,8,16,1,TB,DAL,5.419531345367432,2.0
9,2021090900,1267,9,31,1,TB,DAL,6.27409553527832,3.0
10,2021090900,1312,10,29,1,TB,DAL,4.110292911529541,2.0
11,2021090900,2008,11,18,1,TB,DAL,5.275414943695068,2.0
12,2021090900,2032,12,35,1,TB,DAL,7.131411552429199,2.0
13,2021090900,2397,13,41,1,TB,DAL,8.18253231048584,4.0
14,2021090900,2419,14,20,0,TB,DAL,5.364051818847656,3.0
15,2021090900,2441,15,48,1,TB,DAL,7.543995380401611,4.0
16,2021090900,2871,16,27,1,TB,DAL,3.226074457168579,2.0
17,2021090900,2893,17,18,1,TB,DAL,8.180439949035645,1.0
18,2021090900,2915,18,31,0,TB,DAL,6.404428482055664,2.0
19,2021090900,3062,19,26,1,TB,DAL,4.881936073303223,2.0
20,2021090900,3110,20,22,1,TB,DAL,7.058660984039307,2.0
21,2021090900,3134,21,20,0,TB,DAL,3.3700037002563477,0.0
22,2021090900,3462,22,15,1,TB,DAL,2.72037935256958,1.0
23,2021090900,3724,23,30,0,DAL,TB,7.347781658172607,1.0
24,2021090900,3746,24,31,0,DAL,TB,7.108599662780762,2.0
25,2021090900,4094,25,21,1,DAL,TB,5.912430763244629,2.0
26,2021090900,4141,26,22,1,DAL,TB,6.848745346069336,2.0
27,2021090900,4189,27,32,0,DAL,TB,8.687928199768066,2.0
